what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481544982723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1481544984218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481544985225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481545046394
started,bundle,com.adobe.flexbuilder.flexunit,4.6.0.328916,"com.adobe.flexbuilder.flexunit",1481545047162
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1481545047165
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1481545048941
started,bundle,com.adobe.flexbuilder.ui,4.6.0.328916,"com.adobe.flexbuilder.ui",1481545050136
started,bundle,com.adobe.flexbuilder.as.editor,4.6.0.328916,"com.adobe.flexbuilder.as.editor",1481545050138
error,log,,,"Product = null version = 460 edition = prem",1481545050211
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1481545050222
opened,editor,com.adobe.flexbuilder.project.ui,4.6.0.328916,"com.adobe.flexbuilder.ui.StartPage",1481545050305
activated,editor,com.adobe.flexbuilder.project.ui,4.6.0.328916,"com.adobe.flexbuilder.ui.StartPage",1481545050330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481545053432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481545074722
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481545076832
closed,editor,com.adobe.flexbuilder.project.ui,4.6.0.328916,"com.adobe.flexbuilder.ui.StartPage",1481545076832
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481545080018
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481545084600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481545144293
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481545179872
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481545181412
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481545189842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481545191142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481549456119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481549456209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481549457026
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481549457188
started,bundle,com.adobe.flexide.as.core,4.6.0.328916,"com.adobe.flexide.as.core",1481549457474
started,bundle,com.adobe.flexide.mxml.core,4.6.0.328916,"com.adobe.flexide.mxml.core",1481549457489
started,bundle,com.adobe.flexbuilder.mxml.editor,4.6.0.328916,"com.adobe.flexbuilder.mxml.editor",1481549457511
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1481549457711
stopped,bundle,com.adobe.flashbuilder.multiplatform.android.ui,4.6.0.328916,"com.adobe.flashbuilder.multiplatform.android.ui",1481549457727
stopped,bundle,com.adobe.flashbuilder.multiplatform.ios.ui,4.6.0.328916,"com.adobe.flashbuilder.multiplatform.ios.ui",1481549457727
stopped,bundle,com.qnx.flashbuilder.multiplatform.qnx.ui,1.2.0.201110311231,"com.qnx.flashbuilder.multiplatform.qnx.ui",1481549457727
stopped,bundle,com.adobe.flashbuilder.project.multiplatform.ui,4.6.0.328916,"com.adobe.flashbuilder.project.multiplatform.ui",1481549457727
stopped,bundle,com.adobe.flexbuilder.ajaxbridge,4.6.0.328916,"com.adobe.flexbuilder.ajaxbridge",1481549457727
stopped,bundle,com.adobe.flexbuilder.dcrad,4.6.0.328916,"com.adobe.flexbuilder.dcrad",1481549457727
stopped,bundle,com.adobe.flexbuilder.standalone,4.6.0.328916,"com.adobe.flexbuilder.standalone",1481549457727
stopped,bundle,com.adobe.flexbuilder.debug.ui,4.6.0.328916,"com.adobe.flexbuilder.debug.ui",1481549457727
stopped,bundle,com.adobe.flexbuilder.mxml.editor,4.6.0.328916,"com.adobe.flexbuilder.mxml.editor",1481549457727
stopped,bundle,com.adobe.flexbuilder.css.editor,4.6.0.328916,"com.adobe.flexbuilder.css.editor",1481549457727
stopped,bundle,com.adobe.flexbuilder.exportimport,4.6.0.328916,"com.adobe.flexbuilder.exportimport",1481549457727
stopped,bundle,com.adobe.flexbuilder.flashbridge,4.6.0.328916,"com.adobe.flexbuilder.flashbridge",1481549457727
stopped,bundle,com.adobe.flexbuilder.flexunit,4.6.0.328916,"com.adobe.flexbuilder.flexunit",1481549457727
stopped,bundle,com.adobe.flexbuilder.as.editor,4.6.0.328916,"com.adobe.flexbuilder.as.editor",1481549457727
stopped,bundle,com.adobe.flexbuilder.importartwork,4.6.0.328916,"com.adobe.flexbuilder.importartwork",1481549457727
stopped,bundle,com.adobe.flexbuilder.tengine,4.6.0.328916,"com.adobe.flexbuilder.tengine",1481549457727
stopped,bundle,com.adobe.flexbuilder.editorcore,4.6.0.328916,"com.adobe.flexbuilder.editorcore",1481549457727
stopped,bundle,com.adobe.flexbuilder.debug,4.6.0.328916,"com.adobe.flexbuilder.debug",1481549457727
stopped,bundle,com.adobe.flash.profiler,4.6.0.328916,"com.adobe.flash.profiler",1481549457727
stopped,bundle,com.adobe.flashbuilder.launching.multiplatform.ui,4.6.0.328916,"com.adobe.flashbuilder.launching.multiplatform.ui",1481549457727
stopped,bundle,com.adobe.flexbuilder.designview,4.6.0.328916,"com.adobe.flexbuilder.designview",1481549457727
stopped,bundle,com.adobe.flexbuilder.launching.ui,4.6.0.328916,"com.adobe.flexbuilder.launching.ui",1481549457727
stopped,bundle,com.adobe.flexbuilder.project.ui,4.6.0.328916,"com.adobe.flexbuilder.project.ui",1481549457727
stopped,bundle,com.adobe.flexbuilder.monitors.network,4.6.0.328916,"com.adobe.flexbuilder.monitors.network",1481549457727
stopped,bundle,com.adobe.flexbuilder.ui,4.6.0.328916,"com.adobe.flexbuilder.ui",1481549457727
stopped,bundle,com.adobe.flexide.exportimport,4.6.0.328916,"com.adobe.flexide.exportimport",1481549457727
stopped,bundle,com.adobe.flexide.fcproject,4.6.0.328916,"com.adobe.flexide.fcproject",1481549457727
stopped,bundle,com.adobe.flexide.fonts,4.6.0.328916,"com.adobe.flexide.fonts",1481549457743
stopped,bundle,com.adobe.flexide.designitems,4.6.0.328916,"com.adobe.flexide.designitems",1481549457743
stopped,bundle,com.adobe.flexide.multiplatform.ios,4.6.0.328916,"com.adobe.flexide.multiplatform.ios",1481549457743
stopped,bundle,com.adobe.flexide.refactoring.core,4.6.0.328916,"com.adobe.flexide.refactoring.core",1481549457743
stopped,bundle,com.adobe.flexide.mxml.core,4.6.0.328916,"com.adobe.flexide.mxml.core",1481549457743
stopped,bundle,com.adobe.flexide.css.core,4.6.0.328916,"com.adobe.flexide.css.core",1481549457743
stopped,bundle,com.adobe.flexide.as.core,4.6.0.328916,"com.adobe.flexide.as.core",1481549457743
stopped,bundle,com.adobe.flexide.externaleditors,4.6.0.328916,"com.adobe.flexide.externaleditors",1481549457743
stopped,bundle,com.adobe.flexide.editorcore,4.6.0.328916,"com.adobe.flexide.editorcore",1481549457743
stopped,bundle,com.adobe.flexbuilder.mxmlmodel,4.6.0.328916,"com.adobe.flexbuilder.mxmlmodel",1481549457743
stopped,bundle,com.adobe.flashbuilder.launching.multiplatform.contributor,4.6.0.328916,"com.adobe.flashbuilder.launching.multiplatform.contributor",1481549457743
stopped,bundle,com.adobe.flexide.multiplatform.android,4.6.0.328916,"com.adobe.flexide.multiplatform.android",1481549457743
stopped,bundle,com.qnx.flexide.multiplatform.qnx,1.2.0.201110311231,"com.qnx.flexide.multiplatform.qnx",1481549457743
stopped,bundle,com.adobe.flexide.launching.multiplatform,4.6.0.328916,"com.adobe.flexide.launching.multiplatform",1481549457743
stopped,bundle,com.adobe.flexide.launching,4.6.0.328916,"com.adobe.flexide.launching",1481549457743
stopped,bundle,com.adobe.flexbuilder.codemodel,4.6.0.328916,"com.adobe.flexbuilder.codemodel",1481549457743
stopped,bundle,com.adobe.flexbuilder.multisdk,4.6.0.328916,"com.adobe.flexbuilder.multisdk",1481549457743
stopped,bundle,com.adobe.flexide.playerview,4.6.0.328916,"com.adobe.flexide.playerview",1481549457743
stopped,bundle,com.adobe.flexide.project.multiplatform,4.6.0.328916,"com.adobe.flexide.project.multiplatform",1481549457743
stopped,bundle,com.adobe.flexbuilder.project,4.6.0.328916,"com.adobe.flexbuilder.project",1481549457743
stopped,bundle,com.adobe.flexbuilder.editors.derived,4.6.0.328916,"com.adobe.flexbuilder.editors.derived",1481549457743
stopped,bundle,com.adobe.flexide.communityhelp,4.6.0.328916,"com.adobe.flexide.communityhelp",1481549457743
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1481549457743
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1481549457743
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1481608983223
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1481608983224
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1481608983225
started,bundle,com.adobe.flash.codemodel.core,4.6.0.328916,"com.adobe.flash.codemodel.core",1481608983226
started,bundle,com.adobe.flash.codemodel.osgi,4.6.0.328916,"com.adobe.flash.codemodel.osgi",1481608983227
started,bundle,com.adobe.flashbuilder.multiplatform.android.ui,4.6.0.328916,"com.adobe.flashbuilder.multiplatform.android.ui",1481608983228
started,bundle,com.adobe.flashbuilder.multiplatform.ios.ui,4.6.0.328916,"com.adobe.flashbuilder.multiplatform.ios.ui",1481608983229
started,bundle,com.adobe.flashbuilder.project.multiplatform.ui,4.6.0.328916,"com.adobe.flashbuilder.project.multiplatform.ui",1481608983231
started,bundle,com.adobe.flexbuilder.dcrad,4.6.0.328916,"com.adobe.flexbuilder.dcrad",1481608983232
started,bundle,com.adobe.flexbuilder.debug.ui,4.6.0.328916,"com.adobe.flexbuilder.debug.ui",1481608983233
started,bundle,com.adobe.flexbuilder.editorcore,4.6.0.328916,"com.adobe.flexbuilder.editorcore",1481608983234
started,bundle,com.adobe.flexbuilder.editors.derived,4.6.0.328916,"com.adobe.flexbuilder.editors.derived",1481608983235
started,bundle,com.adobe.flexbuilder.exportimport,4.6.0.328916,"com.adobe.flexbuilder.exportimport",1481608983237
started,bundle,com.adobe.flexbuilder.flashbridge,4.6.0.328916,"com.adobe.flexbuilder.flashbridge",1481608983238
started,bundle,com.adobe.flexbuilder.flex,4.6.0.328916,"com.adobe.flexbuilder.flex",1481608983238
started,bundle,com.adobe.flexbuilder.multisdk,4.6.0.328916,"com.adobe.flexbuilder.multisdk",1481608983239
started,bundle,com.adobe.flexbuilder.mxmlmodel,4.6.0.328916,"com.adobe.flexbuilder.mxmlmodel",1481608983240
started,bundle,com.adobe.flexbuilder.project,4.6.0.328916,"com.adobe.flexbuilder.project",1481608983240
started,bundle,com.adobe.flexbuilder.project.ui,4.6.0.328916,"com.adobe.flexbuilder.project.ui",1481608983242
started,bundle,com.adobe.flexbuilder.utils.osnative,4.6.0.328916,"com.adobe.flexbuilder.utils.osnative",1481608983242
started,bundle,com.adobe.flexide.amt,4.6.0.328916,"com.adobe.flexide.amt",1481608983243
started,bundle,com.adobe.flexide.editorcore,4.6.0.328916,"com.adobe.flexide.editorcore",1481608983244
started,bundle,com.adobe.flexide.launching,4.6.0.328916,"com.adobe.flexide.launching",1481608983245
started,bundle,com.adobe.flexide.launching.multiplatform,4.6.0.328916,"com.adobe.flexide.launching.multiplatform",1481608983246
started,bundle,com.adobe.flexide.multiplatform.android,4.6.0.328916,"com.adobe.flexide.multiplatform.android",1481608983247
started,bundle,com.adobe.flexide.multiplatform.ios,4.6.0.328916,"com.adobe.flexide.multiplatform.ios",1481608983248
started,bundle,com.adobe.flexide.nativelibs,4.6.0.328916,"com.adobe.flexide.nativelibs",1481608983249
started,bundle,com.adobe.flexide.project.multiplatform,4.6.0.328916,"com.adobe.flexide.project.multiplatform",1481608983250
started,bundle,com.collabnet.subversion.merge,3.0.12,"com.collabnet.subversion.merge",1481608983250
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1481608983251
started,bundle,com.qnx.flashbuilder.multiplatform.qnx.ui,1.2.0.201110311231,"com.qnx.flashbuilder.multiplatform.qnx.ui",1481608983251
started,bundle,com.qnx.flexide.multiplatform.qnx,1.2.0.201110311231,"com.qnx.flexide.multiplatform.qnx",1481608983251
started,bundle,com.qnx.tools.bbt.core,1.1.0.201110311231,"com.qnx.tools.bbt.core",1481608983252
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1481608983253
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1481608983254
