what,kind,bundleId,bundleVersion,description,time
started,bundle,com.adobe.flexbuilder.flexunit,4.6.0.328916,"com.adobe.flexbuilder.flexunit",1481610449361
started,bundle,org.eclipse.php.debug.ui,3.0.1.v201201110400,"org.eclipse.php.debug.ui",1481610449408
started,bundle,org.eclipse.php.server.ui,3.0.1.v201201110400,"org.eclipse.php.server.ui",1481610449416
started,bundle,com.adobe.flexbuilder.as.editor,4.6.0.328916,"com.adobe.flexbuilder.as.editor",1481610449428
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481610450520
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1481610450520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1481610456971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481610457577
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1481610488187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611622451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611630431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611644081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611646535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611696870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611706803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611714221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1481611721255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481611724127
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1481611724341
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1481611724349
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1481611724383
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1481611724387
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1481611724393
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1481611724397
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1481611724398
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1481611724418
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1481611724420
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481611727260
started,bundle,org.eclipse.php.debug.daemon,3.0.1.v201201110400,"org.eclipse.php.debug.daemon",1481611727321
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1481611727336
started,bundle,org.eclipse.php.server.core,3.0.1.v201201110400,"org.eclipse.php.server.core",1481611727337
started,bundle,org.eclipse.php.debug.core,3.0.1.v201201110400,"org.eclipse.php.debug.core",1481611727552
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481611730869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481611746131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611755521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611768242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1481611770557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481611772771
